xgoid	xsnglist	xintvsref	xmltlist	xenrich	xunder	xover	xcutoff	xpvalue	xqvalue	xbin	xchisqr	xhyper	xfisher	xmacnemr	xperm	xmultest	xbonferr	xfdr	xindep	xnoindep	xfwer	xholm	xwestfal	xothers	xclassif	xsimdist
1	1	1	0	1	0	1	0	0	0	1	1	1	0	0	0	9	0	0	0	0	0	0	0	0	0	9
2	9	9	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3	1	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4	1	1	0	1	1	1	0	0	0	0	0	0	1	0	1	1	0	1	1	1	1	0	1	0	1	0
5	1	0	0	1	1	1	0	0	0	0	0	0	1	0	0	1	0	1	0	1	0	0	0	0	0	0
6	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1
7	0	9	0	1	0	1	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	9	9
8	1	0	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
9	0	1	0	1	1	1	9	0	0	0	0	0	1	0	0	9	0	0	0	0	0	0	0	0	0	0
10	0	1	0	1	1	1	0	0	0	0	1	0	1	0	0	1	0	1	1	1	1	1	0	0	0	0
11	1	1	0	1	0	0	1	1	1	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0
12	1	1	0	1	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
13	0	0	0	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
14	0	0	1	1	0	0	0	0	0	0	1	0	0	0	9	9	0	0	0	0	0	0	0	0	0	0
15	1	9	9	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9
16	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
17	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
19	1	1	1	1	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1
20	0	9	0	1	0	1	0	0	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0
21	1	1	0	1	1	1	0	0	0	1	0	1	1	0	0	1	1	1	1	1	1	1	0	1	0	1
22	0	0	0	1	0	0	1	0	0	1	1	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0
23	0	0	9	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
24	0	1	0	1	0	0	1	0	0	1	0	1	1	0	0	1	0	1	1	0	0	0	0	1	0	0
25	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
26	1	1	0	1	1	1	1	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0
