tgoid	tdnamicr	tsppoted	tinsitua	tproteom	tsage	tcgh	tothers	twebased	tdownloa	twindows	tmacosx	tunix	tlinux	tbatch	tfree	tpartial	tfee	tsamplef
1	1	0	0	0	0	0	0	0	1	1	0	0	1	0	1	0	0	1
2	1	0	0	9	0	0	1	0	1	1	0	0	0	0	0	0	0	1
3	1	0	0	9	0	0	9	1	1	1	1	1	1	0	0	0	0	0
4	1	0	0	1	0	0	1	1	0	1	0	0	9	0	1	0	0	1
5	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1
6	1	1	0	1	0	0	9	1	0	0	0	0	0	0	0	0	0	0
7	1	9	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	1
8	0	0	0	0	0	0	0	0	1	1	1	1	1	0	0	0	0	0
9	1	1	1	1	0	9	1	0	1	1	1	1	1	0	1	0	0	9
10	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
11	1	9	1	9	0	9	1	0	1	1	0	0	0	0	1	0	0	1
12	1	0	0	1	0	0	1	1	0	1	0	0	0	0	1	0	0	0
13	1	0	0	1	0	0	0	0	1	1	0	0	0	0	1	0	0	0
14	1	0	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0
15	1	0	0	1	0	0	9	1	0	0	0	0	0	0	0	0	0	1
16	1	1	1	1	0	9	1	1	1	1	1	1	1	1	1	0	0	0
17	0	0	0	0	0	0	1	1	0	1	0	0	0	0	1	0	0	0
18	1	1	0	0	0	9	1	1	0	0	0	0	0	1	0	0	0	0
19	1	0	0	0	0	9	0	1	0	0	0	0	0	0	0	0	0	0
20	1	0	0	0	0	0	0	1	1	1	1	1	1	0	0	0	0	0
21	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0
22	1	0	0	9	9	9	9	1	0	1	1	1	1	0	0	1	0	0
23	0	0	0	0	0	0	0	0	1	1	1	1	1	0	0	0	0	0
24	1	1	1	0	0	0	0	1	1	0	0	0	0	0	1	0	0	1
25	1	0	0	0	1	0	0	0	1	1	0	0	0	0	1	0	0	0
26	1	0	0	0	0	0	0	0	1	1	1	1	1	0	0	1	0	0
