agoid	aaffydes	abiocart	achromlc	adbest	aebiembl	aesembl	aflybase	ahgdb	agbank	agenecar	agenemap	agname	agsymbol	agoa	agomgd	agrif	ahomolog	ainterpr	alocusli	akegg	amaploc	amgd	amgi	anetaffx	aorgansm	aomim	apdb	apfam	aphenotp	apiripro	aplasmod	apubmed	argd	arefseq	arhdb	asgd	atair	atigr	atrembl	aucschgb	aunigene	auniprot	aunists	awormbas	afuncsum	aowndb	aother	abiopath	adesease	afuncat	ageneral	ago	amf	abp	acc	aliterat	aprotdom	aprotint	aappend	aretriev	aremove	acluster	amapongo	amapslim	afitdepth	afbroad	apreproc	atransfr	abias	areduce	akeysrch	ablastsc	aoverlap	afindids	aapi	aordered	ainex	ar
1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	1	0	1	1	1	1	0	0	0	0	1	1	1	1	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0
2	1	0	1	0	1	0	0	0	1	0	0	1	1	1	0	0	0	0	1	1	0	0	1	1	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	1	1	0	1	1	0	1	1	1	1	1	0	0	1	1	1	1	0	0	0	0	1	1	0	1	0	0	0	0	0	1	1	0
3	1	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	1	1	1	1	0	0	0	1	1	1	0	1	0	0	0	1	1	0	0	1	0	0	0	1	0	1	0
4	0	0	0	0	1	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	1	0	0	1	0	1	1	1	1	0	0	0	0	1	0	0	1	0	1	1	0	0	0	1	1	0	0	0	0	0	1	0
5	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0
6	0	0	0	1	1	1	0	0	1	0	0	0	0	1	1	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	1	0	1	1	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	0	0	0	0	0	1	1	0	1	0	0	1	0
7	1	0	1	0	1	0	0	1	0	0	0	1	1	1	0	0	0	1	1	1	0	0	1	0	0	1	0	1	1	0	0	1	1	0	0	0	0	0	0	0	1	1	1	0	0	1	1	1	1	1	0	1	1	1	1	0	1	0	1	1	1	1	1	0	1	1	1	0	1	0	1	0	0	0	0	1	1	0
8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
9	0	1	1	0	0	0	1	0	0	1	0	0	1	1	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	1	1	0	0	1	1	1	1	0	1	1	0	1	1	1	1	1	0	1	1	1	1	1	1	0	0	0	1	1	1	1	1	0	1	0	1	0	0	1	1	1	0	1	1	1	1	0
10	1	0	0	1	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	1	1	1	1	1	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0
