ogoid	ohtml	oxls	ocsv	oscsv	otsv	oxml	oother	olistgot	olistpval	olimited	onterms	othresh	oan4clus	oxref	ovisuali	oviewgot	odag	otree	obarchar	oviewpath	ogobrows	oamigo	oownbrow
1	1	0	0	0	0	0	0	1	1	0	0	0	1	1	1	1	1	0	0	0	1	1	0
2	1	1	0	1	1	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0
3	1	0	0	0	1	1	0	1	1	0	0	0	1	1	1	1	0	1	0	0	1	1	1
4	1	0	0	0	1	0	0	1	1	0	0	0	1	1	1	1	0	1	1	0	1	1	0
5	1	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	1	1	0
6	1	1	0	0	1	0	0	1	0	0	0	0	1	1	1	1	0	0	1	1	0	0	0
7	1	0	0	0	1	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0
8	0	0	0	0	0	0	0	1	1	0	0	0	0	9	1	0	0	0	0	0	0	0	0
9	0	1	0	0	1	1	0	1	1	0	0	0	1	1	1	1	1	1	0	1	1	0	1
10	1	0	0	0	1	0	0	1	1	1	1	1	1	0	1	1	0	1	0	1	1	1	0
11	0	0	0	0	1	0	0	1	1	1	0	0	1	1	1	1	0	1	0	0	0	0	0
12	1	0	0	0	0	0	0	1	0	0	0	0	1	1	1	1	1	1	1	0	1	0	1
13	0	0	0	0	1	0	0	1	0	1	1	0	0	0	1	1	0	1	0	1	1	0	1
14	1	0	0	0	1	0	0	1	0	1	1	1	1	1	1	1	1	0	0	1	1	1	0
15	1	0	0	0	1	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0
16	1	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
17	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	1	0	0	0	0	0
18	1	0	0	0	1	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0
19	0	1	0	0	1	1	0	1	1	1	1	1	1	1	1	1	0	1	0	0	1	0	1
20	0	0	0	0	1	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0
21	1	0	0	0	1	0	0	1	1	0	0	0	1	1	1	1	1	1	0	0	1	1	0
22	1	0	0	1	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1
23	1	0	0	0	0	1	1	1	1	1	0	1	1	0	1	1	1	0	0	0	0	0	0
24	1	0	0	0	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
25	1	0	0	0	1	0	0	1	0	1	1	1	1	1	1	1	0	1	0	0	1	0	1
26	0	0	0	0	0	1	0	1	1	1	1	1	1	1	1	1	0	1	0	0	1	0	1
