sgoid	sanophel	sarabido	sbacillu	scow	scaenbri	scaenele	scoxiell	szebrafi	sdictyos	sfly	sfugurub	sgeobact	sglossin	shuman	sleishma	smouse	soryzasa	splasmod	spseudom	srat	sbeer	syeast	sshewane	strypano	scholera	sothers
1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2	0	0	0	1	0	1	0	1	0	1	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	1
3	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0
4	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	1	0	0	0	1	1	0	0	0	0	1
5	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	1	0	0	0	1	1	1	1	0	1	1
6	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0
7	1	1	0	1	0	1	0	1	0	1	0	0	0	1	0	1	0	1	0	1	1	1	0	0	0	1
8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
9	0	1	0	0	0	1	0	1	0	1	0	0	1	1	0	1	1	0	0	1	1	1	0	1	0	1
10	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0	1	0	1	0	0	0	1
11	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0
12	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0
13	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0
14	0	0	0	0	0	1	0	1	0	1	0	0	0	1	0	1	1	0	0	1	0	1	0	0	0	1
15	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0
16	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0
17	1	0	0	0	0	1	0	0	0	1	0	0	0	1	0	1	0	1	0	1	1	1	0	0	0	0
18	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0
19	1	1	0	1	0	1	0	1	1	1	0	0	0	1	0	1	1	0	0	1	0	0	0	0	0	1
20	0	1	1	0	0	1	1	1	0	1	0	0	1	1	1	1	1	1	0	1	1	1	1	1	1	1
21	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	1	0	0	0	1	1	0	0	0	0	0
22	0	1	1	1	0	1	1	1	0	1	0	1	1	1	1	1	0	0	1	1	1	1	1	1	1	1
23	0	1	1	1	0	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
24	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0
25	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1
26	9	1	0	0	9	1	0	9	0	1	9	0	0	1	0	1	0	0	0	9	1	1	0	1	1	1
