xgoid	xsngset	xintvsref	xmltset	xenrich	xunder	xover	xcutoff	xpvalue	xqvalue	xbin	xchisqr	xhyper	xfisher	xtestother	xperm	xmultest	xbonferr	xfdr	xindep	xnoindep	xfwer	xholm	xwestfal	xothers	xclassif	xsimdist
1	1	1	1	1	0	1	1	0	0	1	1	1	0	0	0	1	0	1	0	0	0	0	0	0	1	0
2	1	1	0	1	0	1	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	1	1	0
3	1	1	1	1	0	1	1	1	0	1	0	0	0	1	0	1	1	1	1	0	1	0	1	1	1	0
4	1	1	0	1	1	1	1	1	0	0	0	0	1	0	0	1	0	1	1	0	1	0	1	0	1	0
5	1	1	0	1	1	1	1	1	0	0	0	0	1	0	0	1	0	1	0	1	0	0	0	0	0	0
6	1	1	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1
7	1	1	1	1	1	1	1	1	0	1	0	1	1	1	0	1	0	1	1	0	1	0	0	0	1	0
8	1	0	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
9	1	1	0	1	1	1	1	1	1	0	0	0	1	0	0	1	0	1	0	0	0	0	0	1	1	0
10	1	1	0	1	1	1	1	1	0	0	1	0	1	1	0	1	0	1	1	1	1	1	0	1	0	0
11	1	1	1	1	1	1	1	1	1	0	1	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0
12	1	1	0	1	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
13	1	0	0	1	1	1	1	1	0	0	0	0	0	1	1	1	0	0	0	0	1	0	1	0	0	0
14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
15	1	1	1	1	1	1	1	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	1	1
16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
17	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1
18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
19	1	1	1	1	1	1	1	1	0	1	1	0	1	0	0	1	0	1	1	0	0	0	0	0	0	0
20	0	1	0	1	1	1	0	0	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0
21	1	1	0	1	1	1	1	0	1	1	0	1	1	0	0	1	1	1	1	1	9	9	0	1	1	1
22	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1	1	0	0	1	1	0	1	0	0
23	1	1	1	1	0	1	0	0	0	0	0	1	0	0	0	1	1	1	1	1	1	1	1	0	0	0
24	1	1	0	1	0	0	0	0	0	1	0	1	1	0	0	1	0	1	1	0	0	0	0	0	0	0
25	1	1	1	1	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1
26	1	1	0	1	1	1	1	1	0	1	0	1	0	0	0	1	1	0	0	0	1	0	1	1	1	0
