tagid	field	level	tag
1	mtoolfor	1	TOOL FOR
2	mexplora	2	Exploration
3	mannotat	2	Annotation
4	ttypeofe	1	TYPE OF EXPERIMENT
5	tdnamicr	2	DNA Microarrays
6	tspotted	3	Spotted
7	tinsitua	3	In situ
8	tproteom	2	Proteomic
9	tsage	2	SAGE
10	tcgh	2	CGH
11	tothers	2	Others
12	tinterfa	1	INTERFACE
13	twebased	2	Web-based
14	tdownloa	2	Downloable
15	tcomposs	2	Compatible OSS
16	twindows	3	Windows
17	tmacosx	3	Mac OS X
18	tunix	3	Unix
19	tlinux	3	Linux
20	tbatch	2	Command line (batch navigation)
21	tavailab	1	AVAILABILITY
22	tfree	2	Free
23	tfree4fau	2	Free for academic users
24	tfee	2	Fee
25	tsamplef	1	SAMPLE FILES/LISTS
26	ssupport	1	SUPPORTED SPECIES
27	sanophel	2	Anopheles gambiae
28	sarabido	2	Arabidopsis thaliana
29	sbacillu	2	Bacillus anthracis ames
30	scow	2	Bos taurus (domestic cow)
31	scaenbri	2	Caenorlabditis briggsae
32	scaenele	2	Caenorlabditis elegans
33	scoxiell	2	Coxiella burnetii RSA 493
34	szebrafi	2	Danio rerio (zebrafish)
35	sdictyos	2	Dictyostellium discoideum
36	sfly	2	Drosophila melanogaster (fly)
37	sfugurub	2	Fugu rubripes
38	sgeobact	2	Geobacter sulfurreducens PCA
39	sglossin	2	Glossina morsitans
40	shuman	2	Homo sapiens (human)
41	sleishma	2	Leishmania major
42	smouse	2	Mus musculus (mouse)
43	soryzasa	2	Oryza sativa
44	splasmod	2	Plasmodium falciparum
45	spseudom	2	Pseudomonas syringae DC300
46	srat	2	Rattus norvegicus (rat)
47	sbeer	2	Saccharomyces cervisiae
48	syeast	2	Schizosaccharomyces pombe (yeast)
49	sshewane	2	Shewanella oneidensis
50	strypano	2	Trypanosoma brucei
51	scholera	2	Vibrio cholerae (cholera)
52	sothers	2	Others
53	ddata	1	DATA
54	datomat	2	Automated Updating Source
55	dweekly	3	Weekly
56	dmonthly	3	Monthly
57	dquarter	3	Quarterly
58	dinputs	2	Inputs
59	dalistof	3	A list of
60	dgenes	4	Genes
